location_id,latitude,longitude,elevation_m,slope_deg,built_up_percent,distance_to_nearest_drain_m,drain_density_m_per_km2,observed_reference_depth_cm,zone,ward
CHN_LOC_0001,12.9989055,80.207447,11.0,2.7959,90.92,0.765,14986.69,17.78,,
CHN_LOC_0002,12.99926,80.2075221,12.0,2.6619,91.444,24.703,15159.165,16.51,,
CHN_LOC_0003,13.0025457,80.2087814,8.0,2.1171,91.813,11.246,12077.835,15.24,,
CHN_LOC_0004,12.9999502,80.207727,13.0,1.8647,92.49,68.764,15124.905,16.51,,
CHN_LOC_0005,12.9783961,80.2041982,4.0,2.6618,88.181,47.172,17766.547,16.51,,
CHN_LOC_0006,12.973235,80.2107428,2.0,1.8647,85.657,118.549,5835.416,13.97,,
CHN_LOC_0007,12.9613758,80.2151748,1.0,2.9526,45.706,25.469,3574.714,17.78,,
CHN_LOC_0008,12.9573618,80.2135598,3.0,1.3316,29.271,23.875,2273.465,16.51,,
CHN_LOC_0009,12.9725609,80.2194656,3.0,2.1169,97.384,37.923,11485.657,15.24,,
CHN_LOC_0010,12.9727053,80.2195052,3.0,2.6618,97.045,49.726,11616.567,15.24,,
CHN_LOC_0011,12.973793,80.2186606,5.0,2.1169,97.999,4.014,9764.61,15.24,,
CHN_LOC_0012,12.9754798,80.2207229,4.0,2.0928,93.937,27.541,8836.386,16.51,,
CHN_LOC_0013,12.9755569,80.2207685,4.0,2.0928,93.937,36.086,8631.107,15.24,,
CHN_LOC_0014,12.9761094,80.2211896,7.0,1.9008,94.06,82.865,8121.601,15.24,,
CHN_LOC_0015,12.9761728,80.2212664,7.0,1.9008,94.214,76.903,8297.795,13.97,,
CHN_LOC_0016,12.9762257,80.2212299,7.0,1.9008,94.337,82.731,8207.329,15.24,,
CHN_LOC_0017,12.9775316,80.2212393,7.0,2.6618,94.614,22.487,6429.993,15.24,,
CHN_LOC_0018,12.9774976,80.2212594,8.0,2.7959,94.675,19.339,6501.917,15.24,,
CHN_LOC_0019,12.978268,80.2212108,4.0,3.404,91.505,92.449,5853.785,15.24,,
CHN_LOC_0020,12.9786532,80.2212004,7.0,2.7959,91.013,134.239,5461.986,15.24,,
CHN_LOC_0021,12.9799613,80.2210679,8.0,2.117,92.521,198.167,4557.836,15.24,,
CHN_LOC_0022,12.9802998,80.2210082,9.0,1.9008,92.521,200.573,4435.843,22.86,,
CHN_LOC_0023,12.9808337,80.2209667,7.0,1.8647,92.613,213.239,4821.243,20.32,,
CHN_LOC_0024,12.9809493,80.2210103,8.0,1.9008,92.398,200.979,4901.335,22.86,,
CHN_LOC_0025,12.9810264,80.2210542,7.0,2.0928,92.213,191.213,4943.262,24.13,,
CHN_LOC_0026,12.9811332,80.2210827,7.0,2.0928,91.998,179.41,4943.301,19.05,,
CHN_LOC_0027,12.9743847,80.2204192,6.0,1.9007,94.952,27.17,10651.48,15.24,,
CHN_LOC_0028,12.9636665,80.2154524,1.0,1.8647,65.928,34.187,3104.106,13.97,,
CHN_LOC_0029,12.9637452,80.2151738,2.0,1.8647,70.668,65.56,3431.663,13.97,,
CHN_LOC_0030,12.9646794,80.1961197,10.0,2.1168,91.567,6.769,11547.298,16.51,,
CHN_LOC_0031,12.9646415,80.1959859,10.0,2.1168,91.32,6.552,11348.834,13.97,,
CHN_LOC_0032,12.9646467,80.1959135,10.0,2.8497,91.351,6.56,11335.585,43.18,,
CHN_LOC_0033,12.9651521,80.1923354,9.0,3.3791,79.686,7.591,8162.943,14.478000000000002,,
CHN_LOC_0034,12.9652191,80.1920873,9.0,3.3791,80.332,6.419,7910.654,13.97,,
CHN_LOC_0035,12.9967772,80.2491892,5.0,4.1801,53.093,97.803,8385.149,17.78,,
CHN_LOC_0036,12.9967043,80.2492073,5.0,4.1801,52.939,97.789,8391.656,15.24,,
CHN_LOC_0037,13.0068879,80.2401093,13.0,2.6619,35.088,37.865,1610.817,17.78,,
CHN_LOC_0038,12.9796666,80.2432156,2.0,1.8647,86.642,8.93,3789.87,73.66,,
CHN_LOC_0039,12.9783275,80.2389006,3.0,2.0928,58.51,338.927,2501.739,43.18,,
CHN_LOC_0040,12.9782033,80.2397274,2.0,1.8647,65.774,355.354,3048.277,26.67,,
CHN_LOC_0041,12.97802,80.2410806,2.0,1.9008,78.147,225.911,3144.277,15.24,,
CHN_LOC_0042,12.9780782,80.2414282,1.0,1.3316,81.256,187.707,3246.219,12.7,,
CHN_LOC_0043,12.9782056,80.2418735,0.0,2.1169,84.949,137.521,3368.233,15.24,,
CHN_LOC_0044,12.9784039,80.2425192,2.0,3.3791,87.627,64.893,3560.171,17.78,,
CHN_LOC_0045,12.9785379,80.2430483,4.0,2.6618,87.627,7.651,3732.198,17.78,,
